"","name","country","polyID","designation","point","iucn_cat","WDPAID","median","upper","lower"
"997","Kaibaki North","NGA",385,"Forest Reserve","polygon","Not Reported",36313,0.335,0.479,0.24
"998","Kaibaki South","NGA",386,"Forest Reserve","polygon","Not Reported",36314,0.335,0.479,0.24
"999","Kaikaimako","NGA",247,"Forest Reserve","polygon","Not Reported",36174,0.444,0.638,0.282
"1000","Kainji Lake","NGA",220,"National Park","polygon","II",819,0.298,0.513,0.188
"1001","Kajeasi","GHA",101,"Forest Reserve","polygon","Not Reported",40803,0.439,0.641,0.351
"1002","Kakanda Hills","NGA",814,"Forest Reserve","polygon","Not Reported",36764,0.337,0.555,0.24
"1003","Kakangi","NGA",436,"Forest Reserve","polygon","Not Reported",36368,0.202,0.275,0.152
"1004","Kakara","NGA",81,"Forest Reserve","polygon","Not Reported",36909,0.358,0.427,0.191
"1005","Kakau","NGA",620,"Forest Reserve","polygon","Not Reported",36565,0.26,0.483,0.192
"1006","Kakiwargi","NGA",885,"Forest Reserve","polygon","Not Reported",36892,0.371,0.6,0.262
"1007","Kakrima","GIN",43,"Classified Forest","polygon","Not Reported",29397,0.295,0.434,0.212
"1008","Kakum","GHA",15,"National Park","polygon","II",26460,0.445,0.619,0.376
"1009","Kala","GIN",35,"Classified Forest","polygon","Not Reported",29385,0.286,0.394,0.214
"1010","Kalakpa","GHA",181,"Game Production Reserve","polygon","VI",5152,0.463,0.661,0.372
"1011","Kalalawa","NGA",317,"Forest Reserve","polygon","Not Reported",36245,0.299,0.467,0.171
"1012","Kalio","BFA",62,"Classified Forest","polygon","Not Reported",313435,0.376,0.684,0.173
"1013","Kaloum","GIN",5,"Classified Forest","polygon","Not Reported",29330,NA,NA,NA
"1014","Kalsingi Hills","NGA",549,"Forest Reserve","polygon","Not Reported",36488,0.281,0.408,0.142
"1015","Kaltungo Hill","NGA",746,"Forest Reserve","polygon","Not Reported",36694,0.262,0.477,0.132
"1016","Kaltungo","NGA",745,"Forest Reserve","polygon","Not Reported",36693,0.264,0.484,0.141
"1017","Kalunta","NGA",187,"Forest Reserve","polygon","Not Reported",37023,0.506,0.607,0.437
"1018","Kalurwa","NGA",283,"Forest Reserve","polygon","Not Reported",36211,0.449,0.746,0.263
"1019","Kamarimi","NGA",675,"Forest Reserve","polygon","Not Reported",36623,0.358,0.579,0.196
"1020","Kamatan","NGA",209,"Forest Reserve","polygon","Not Reported",300870,0.338,0.4,0.181
"1021","Kambari","NGA",234,"Game Reserve","polygon","IV",11596,0.39,0.629,0.166
"1022","Kambari","NGA",760,"Forest Reserve","polygon","Not Reported",36710,0.391,0.633,0.166
"1023","Kambia","GIN",25,"Classified Forest","polygon","Not Reported",29372,0.334,0.489,0.219
"1024","Kambui Hills and Extensions","SLE",26,"Forest Reserve","polygon","Not Reported",303925,0.441,0.542,0.354
"1025","Kambui South","SLE",13,"Forest Reserve","polygon","Not Reported",29972,0.445,0.542,0.364
"1026","Kamesso","CIV",197,"Classified Forest","polygon","Not Reported",300814,0.469,0.728,0.303
"1027","Kampe River","NGA",809,"Forest Reserve","polygon","Not Reported",36759,0.372,0.607,0.262
"1028","Kamuku","NGA",232,"National Park","polygon","II",7874,0.353,0.566,0.167
"1029","Kanawa","NGA",566,"Forest Reserve","polygon","Not Reported",36505,0.281,0.408,0.142
"1030","Kandawa","NGA",364,"Forest Reserve","polygon","Not Reported",36292,0.29,0.451,0.235
"1031","Kande River","NGA",772,"Forest Reserve","polygon","Not Reported",36722,0.417,0.633,0.24
"1032","Kandenbelli","GHA",233,"Forest Reserve","polygon","Not Reported",303942,0.408,0.719,0.179
"1033","Kangari Hills","SLE",31,"Forest Reserve","polygon","VI",5180,0.429,0.535,0.351
"1034","Kani kani","GHA",241,"Forest Reserve","polygon","Not Reported",303951,0.32,0.548,0.207
"1035","Kanoma Gabiya","NGA",397,"Forest Reserve","polygon","Not Reported",36325,0.283,0.459,0.181
"1036","Kapo","BFA",48,"Classified Forest","polygon","Not Reported",28572,0.382,0.632,0.187
"1037","Kara","TGO",55,"Forest Reserve","polygon","Not Reported",300762,0.323,0.539,0.233
"1038","Karaduwa","NGA",367,"Forest Reserve","polygon","Not Reported",36295,0.289,0.448,0.24
"1039","Karaka Plantation","GHA",230,"Forest Reserve","polygon","Not Reported",303939,0.325,0.488,0.143
"1040","Karanja","GHA",236,"Forest Reserve","polygon","Not Reported",303945,0.339,0.61,0.201
"1041","Karfe Binji","NGA",240,"Forest Reserve","polygon","Not Reported",36167,0.448,0.69,0.275
"1042","Kari","BFA",8,"Classified Forest","polygon","Not Reported",28524,0.39,0.716,0.187
"1043","Kariya","NGA",462,"Forest Reserve","polygon","Not Reported",36396,0.21,0.271,0.164
"1044","Karlahi","NGA",758,"Forest Reserve","polygon","Not Reported",36706,0.256,0.464,0.141
"1045","Karmo","NGA",692,"Forest Reserve","polygon","Not Reported",36640,0.358,0.598,0.218
"1046","Karnowa","NGA",308,"Forest Reserve","polygon","Not Reported",36236,0.336,0.578,0.179
"1047","Karoka","NGA",810,"Forest Reserve","polygon","Not Reported",36760,0.34,0.594,0.245
"1048","Karonmajigi","NGA",694,"Forest Reserve","polygon","Not Reported",36642,0.358,0.598,0.218
"1049","Kasa Kogi","NGA",778,"Forest Reserve","polygon","Not Reported",36728,0.421,0.629,0.207
"1050","Kasanu","NGA",933,"Forest Reserve","polygon","Not Reported",300720,0.354,0.592,0.174
"1051","Kasewe","SLE",24,"Forest Reserve","polygon","Not Reported",303923,0.434,0.523,0.354
"1052","Kashimbila","NGA",18,"Game Reserve","polygon","IV",11597,0.327,0.406,0.292
"1053","Kassa","CIV",91,"Classified Forest","polygon","Not Reported",300919,0.58,0.732,0.415
"1054","Katerma","NGA",621,"Forest Reserve","polygon","Not Reported",36566,0.271,0.497,0.186
"1055","Katika","NGA",329,"Forest Reserve","polygon","Not Reported",36257,0.322,0.507,0.219
"1056","Katsina-Ala","NGA",71,"Forest Reserve","polygon","Not Reported",36896,0.417,0.645,0.312
"1057","Katsina","NGA",361,"Forest Reserve","polygon","Not Reported",36289,0.313,0.488,0.24
"1058","Kaugama Motso","NGA",352,"Forest Reserve","polygon","Not Reported",36280,0.322,0.518,0.216
"1059","Kavi","CIV",97,"Classified Forest","polygon","Not Reported",300931,0.58,0.732,0.416
"1060","Kawara","NGA",415,"Forest Reserve","polygon","Not Reported",36343,0.441,0.711,0.235
"1061","Kaya","NGA",383,"Forest Reserve","polygon","Not Reported",36311,0.336,0.493,0.246
"1062","Kazura","NGA",334,"Forest Reserve","polygon","Not Reported",36262,0.322,0.53,0.21
"1063","Keaun Suna","NGA",246,"Forest Reserve","polygon","Not Reported",36173,0.408,0.604,0.292
"1064","Keffi","NGA",782,"Forest Reserve","polygon","Not Reported",36732,0.34,0.583,0.247
"1065","Kemini","TGO",41,"Forest Reserve","polygon","Not Reported",37152,0.322,0.532,0.234
"1066","Keniebaoule","MLI",23,"Total Wildlife Reserve","polygon","IV",2325,0.38,0.782,0.234
"1067","Kenjimiram","NGA",304,"Forest Reserve","polygon","Not Reported",36232,0.417,0.668,0.224
"1068","Keran","TGO",25,"National Park","polygon","II",2339,0.34,0.602,0.163
"1069","Kesewa","NGA",504,"Forest Reserve","polygon","Not Reported",36443,0.315,0.533,0.162
"1070","Ketou","BEN",26,"Classified Forest","polygon","Not Reported",5157,0.448,0.589,0.278
"1071","Khabitaye","GIN",7,"Classified Forest","polygon","Not Reported",29333,NA,NA,NA
"1072","Khadar","SEN",24,"Not Reported","polygon","Not Reported",352614,0.582,0.762,0.336
"1073","Khogue","SEN",31,"Not Reported","polygon","Not Reported",352621,0.577,0.753,0.313
"1074","Khogue","SEN",60,"Forest Reserve","polygon","Not Reported",352650,0.626,0.882,0.318
"1075","Kiang West","GMB",8,"National Park","polygon","Not Reported",2289,0.575,0.821,0.375
"1076","Kilboa","NGA",277,"Forest Reserve","polygon","Not Reported",36205,0.442,0.669,0.258
"1077","Kilimi","SLE",1,"National Park","polygon","Not Reported",555555549,0.332,0.46,0.257
"1078","Kimbirila","CIV",143,"Classified Forest","polygon","Not Reported",29623,0.326,0.491,0.182
"1079","Kindja","TGO",42,"Forest Reserve","polygon","Not Reported",37153,0.323,0.539,0.233
"1080","Kinging","NGA",531,"Forest Reserve","polygon","Not Reported",36470,0.214,0.377,0.138
"1081","Kinkene","CIV",134,"Classified Forest","polygon","Not Reported",29567,0.384,0.643,0.293
"1082","Kir Hill","NGA",582,"Forest Reserve","polygon","Not Reported",36523,0.19,0.266,0.147
"1083","Kirfi Hill","NGA",535,"Forest Reserve","polygon","Not Reported",36474,0.249,0.418,0.139
"1084","Kiri","NGA",962,"Forest Reserve","polygon","Not Reported",300810,0.239,0.322,0.168
"1085","Kirmin Agyaga","NGA",732,"Forest Reserve","polygon","Not Reported",36680,0.277,0.485,0.202
"1086","Kirmin Nunkuchu","NGA",731,"Forest Reserve","polygon","Not Reported",36679,0.321,0.528,0.203
"1087","Klemu Headwaters","GHA",184,"Forest Reserve","polygon","Not Reported",26511,0.399,0.571,0.294
"1088","Klouamian","CIV",222,"Classified Forest","polygon","Not Reported",300838,0.477,0.682,0.378
"1089","Kobo","CIV",136,"Classified Forest","polygon","Not Reported",29600,0.401,0.616,0.278
"1090","Koflande","BFA",4,"Classified Forest","polygon","Not Reported",7516,0.381,0.608,0.208
"1091","Kogha","CIV",128,"Classified Forest","polygon","Not Reported",29546,0.333,0.574,0.212
"1092","Kogin Kano","NGA",455,"Forest Reserve","polygon","Not Reported",36389,0.192,0.261,0.153
"1093","Kogin Zur","NGA",527,"Forest Reserve","polygon","Not Reported",36466,0.322,0.546,0.174
"1094","Kogo","NGA",445,"Forest Reserve","polygon","Not Reported",36378,0.208,0.322,0.153
"1095","Kogo","NGA",889,"National Park","polygon","Not Reported",62087,0.208,0.322,0.153
"1096","Kogum River","NGA",709,"Forest Reserve","polygon","Not Reported",36657,0.276,0.479,0.2
"1097","Kogyae","GHA",3,"Strict Nature Reserve","polygon","Ia",1543,0.451,0.653,0.348
"1098","Kokoh","CIV",120,"Classified Forest","polygon","Not Reported",300963,NA,NA,NA
"1099","Kokomto","NGA",750,"Forest Reserve","polygon","Not Reported",36698,0.331,0.614,0.139
"1100","Kokotintin Shelterbelt","GHA",29,"Forest Reserve","polygon","Not Reported",40680,0.478,0.648,0.364
"1101","Komadugu Gana","NGA",319,"Forest Reserve","polygon","Not Reported",36247,0.31,0.494,0.202
"1102","Komala","NGA",514,"Forest Reserve","polygon","Not Reported",36453,0.288,0.448,0.146
"1103","Kona","NGA",609,"Forest Reserve","polygon","Not Reported",36553,0.2,0.325,0.137
"1104","Konduga","NGA",512,"Forest Reserve","polygon","Not Reported",36451,0.408,0.68,0.186
"1105","Kongossambougou","MLI",16,"Wildlife Reserve","polygon","IV",2324,0.491,0.843,0.248
"1106","Kongouko","BFA",66,"Classified Forest","polygon","Not Reported",313442,0.364,0.588,0.186
"1107","Koni","GIN",94,"Classified Forest","polygon","Not Reported",29478,0.334,0.489,0.219
"1108","Konkoure Fetto","GIN",29,"Classified Forest","polygon","Not Reported",29377,0.334,0.489,0.219
"1109","Kontagora","NGA",623,"Forest Reserve","polygon","Not Reported",36568,0.344,0.575,0.193
"1110","Konza Kourou","CIV",158,"Classified Forest","polygon","Not Reported",300754,0.342,0.493,0.182
"1111","Kora","GIN",42,"Classified Forest","polygon","Not Reported",29396,0.313,0.468,0.189
"1112","Korama Kurumi","NGA",376,"Forest Reserve","polygon","Not Reported",36304,0.304,0.499,0.227
"1113","Kouadikro","CIV",208,"Classified Forest","polygon","Not Reported",300826,0.497,0.685,0.351
"1114","Kouatie","TGO",53,"Forest Reserve","polygon","Not Reported",300735,0.324,0.55,0.203
"1115","Koularo","TGO",43,"Forest Reserve","polygon","Not Reported",37156,0.323,0.539,0.233
"1116","Koulbi","BFA",25,"Classified Forest","polygon","Not Reported",28547,0.293,0.518,0.166
"1117","Koulima","BFA",49,"Classified Forest","polygon","Not Reported",28574,0.378,0.611,0.212
"1118","Koumban-Kourou","GIN",71,"Classified Forest","polygon","Not Reported",29442,0.368,0.595,0.195
"1119","Kourani-Oulete- Dienne","GIN",72,"Classified Forest","polygon","Not Reported",29443,0.341,0.526,0.202
"1120","Kouroufing","MLI",29,"National Park","polygon","II",317195,0.481,0.839,0.246
"1121","Kourtiagou","BFA",68,"Partial Faunal Reserve","polygon","IV",3226,0.36,0.602,0.153
"1122","Kpandu Range Dayi Block","GHA",185,"Forest Reserve","polygon","Not Reported",26513,0.43,0.651,0.323
"1123","Kpandu Range West","GHA",188,"Forest Reserve","polygon","Not Reported",26516,0.43,0.651,0.323
"1124","Kpashimi","NGA",807,"Forest Reserve","polygon","Not Reported",36757,0.344,0.604,0.241
"1125","Kpeyafo","NGA",647,"Forest Reserve","polygon","Not Reported",36593,0.356,0.612,0.213
"1126","Kpime","TGO",12,"Forest Reserve","polygon","Not Reported",37154,0.399,0.571,0.294
"1127","Kpo Mountains","LBR",2,"National Park","polygon","Not Reported",555512166,0.522,0.641,0.381
"1128","Kra","TGO",21,"Forest Reserve","polygon","Not Reported",300867,0.395,0.566,0.302
"1129","Kravassou","CIV",86,"Classified Forest","polygon","Not Reported",300910,0.538,0.727,0.388
"1130","Krochua","GHA",45,"Forest Reserve","polygon","Not Reported",40734,0.451,0.573,0.392
"1131","Krokosua Hills FoR","GHA",20,"Forest Reserve","polygon","Not Reported",33145,0.488,0.703,0.374
"1132","Krowam","GHA",18,"Forest Reserve","polygon","Not Reported",26573,0.452,0.651,0.334
"1133","Krozalie","CIV",22,"Classified Forest","polygon","Not Reported",29570,0.505,0.726,0.377
"1134","Kua","BFA",58,"Classified Forest","polygon","Not Reported",313427,0.378,0.611,0.212
"1135","Kuchigi","NGA",654,"Forest Reserve","polygon","Not Reported",36600,0.343,0.622,0.235
"1136","Kudu","NGA",644,"Forest Reserve","polygon","Not Reported",36590,0.317,0.589,0.217
"1137","Kuduge","NGA",643,"Forest Reserve","polygon","Not Reported",36589,0.363,0.61,0.202
"1138","Kukangiwa","NGA",336,"Forest Reserve","polygon","Not Reported",36264,0.39,0.614,0.24
"1139","Kukar Jangara","NGA",403,"Forest Reserve","polygon","Not Reported",36331,0.291,0.463,0.232
"1140","Kukawa","NGA",284,"Forest Reserve","polygon","Not Reported",36212,0.449,0.746,0.263
"1141","Kukwaba","NGA",693,"Forest Reserve","polygon","Not Reported",36641,0.358,0.598,0.218
"1142","Kulpawn Headwaters","GHA",202,"Forest Reserve","polygon","Not Reported",26522,0.279,0.487,0.149
"1143","Kulpawn Tributaries","GHA",223,"Forest Reserve","polygon","Not Reported",35161,0.288,0.513,0.18
"1144","Kumawu Waters","GHA",19,"Forest Reserve","polygon","Not Reported",26574,0.437,0.647,0.329
"1145","Kumbo","GHA",197,"Forest Reserve","polygon","Not Reported",26446,0.346,0.598,0.217
"1146","Kumo","NGA",571,"Forest Reserve","polygon","Not Reported",36511,0.264,0.484,0.141
"1147","Kuna Hill","NGA",592,"Forest Reserve","polygon","Not Reported",36533,0.252,0.351,0.157
"1148","Kurba","NGA",893,"Forest Reserve","polygon","Not Reported",342475,0.237,0.387,0.168
"1149","Kurmayai","NGA",399,"Forest Reserve","polygon","Not Reported",36327,0.319,0.47,0.232
"1150","Kurmi Adebi","NGA",798,"Forest Reserve","polygon","Not Reported",36748,0.393,0.638,0.245
"1151","Kurmi Agori","NGA",775,"Forest Reserve","polygon","Not Reported",36725,0.416,0.614,0.218
"1152","Kurmi Agudu","NGA",791,"Forest Reserve","polygon","Not Reported",36741,0.362,0.607,0.241
"1153","Kurmi Agyaragu","NGA",792,"Forest Reserve","polygon","Not Reported",36742,0.365,0.615,0.235
"1154","Kurmi Akanga","NGA",799,"Forest Reserve","polygon","Not Reported",36749,0.393,0.638,0.245
"1155","Kurmi Akeno","NGA",797,"Forest Reserve","polygon","Not Reported",36747,0.393,0.638,0.245
"1156","Kurmi Akura","NGA",773,"Forest Reserve","polygon","Not Reported",36723,0.411,0.619,0.231
"1157","Kurmi Kurayi","NGA",774,"Forest Reserve","polygon","Not Reported",36724,0.415,0.614,0.218
"1158","Kurmi Maiakuya","NGA",789,"Forest Reserve","polygon","Not Reported",36739,0.362,0.607,0.241
"1159","Kurmi Maisamari","NGA",795,"Forest Reserve","polygon","Not Reported",36745,0.437,0.635,0.248
"1160","Kurmi Tagwaye North","NGA",784,"Forest Reserve","polygon","Not Reported",36734,0.346,0.576,0.205
"1161","Kurmi Tagwaye South","NGA",787,"Forest Reserve","polygon","Not Reported",36737,0.346,0.576,0.205
"1162","Kurmin Bakin Kogin","NGA",606,"Forest Reserve","polygon","Not Reported",36548,0.198,0.259,0.156
"1163","Kurmin Danki","NGA",79,"Forest Reserve","polygon","Not Reported",36907,0.303,0.37,0.169
"1164","Kurmin Kogi","NGA",460,"Forest Reserve","polygon","Not Reported",36394,0.21,0.271,0.164
"1165","Kurmin Male","NGA",599,"Forest Reserve","polygon","Not Reported",36540,0.173,0.239,0.14
"1166","Kurra Jekko","NGA",724,"Forest Reserve","polygon","Not Reported",36672,0.297,0.455,0.202
"1167","Kuru Hills","SLE",12,"Forest Reserve","polygon","Not Reported",10733,0.364,0.548,0.24
"1168","Kurumi Zano","NGA",815,"Forest Reserve","polygon","Not Reported",36765,0.366,0.603,0.275
"1169","Kusoru","NGA",702,"Forest Reserve","polygon","Not Reported",36650,0.274,0.45,0.186
"1170","Kusoziko","NGA",649,"Forest Reserve","polygon","Not Reported",36595,0.31,0.567,0.199
"1171","Kusur","NGA",299,"Forest Reserve","polygon","Not Reported",36227,0.35,0.588,0.212
"1172","Kutigi","NGA",646,"Forest Reserve","polygon","Not Reported",36592,0.334,0.61,0.233
"1173","Kuyambana","NGA",222,"Game Reserve","polygon","Not Reported",5156,0.218,0.353,0.152
"1174","Kuzosiko","NGA",827,"Forest Reserve","polygon","Not Reported",36777,0.334,0.61,0.233
"1175","Kwaimbana","NGA",924,"Forest Reserve","polygon","Not Reported",300710,0.212,0.35,0.15
"1176","Kwakuti","NGA",896,"Forest Reserve","polygon","Not Reported",342480,0.405,0.613,0.2
"1177","Kwakwa","NGA",641,"Forest Reserve","polygon","Not Reported",36587,0.305,0.554,0.207
"1178","Kwamisa","GHA",76,"Forest Reserve","polygon","Not Reported",40776,0.436,0.623,0.339
"1179","Kwankiro","NGA",432,"Forest Reserve","polygon","Not Reported",36364,0.206,0.284,0.168
"1180","Kwari Kwasa","NGA",422,"Forest Reserve","polygon","Not Reported",36350,0.375,0.605,0.168
"1181","Kwaya Tera","NGA",563,"Forest Reserve","polygon","Not Reported",36502,0.35,0.638,0.17
"1182","Kwekaru","GHA",102,"Forest Reserve","polygon","Not Reported",40804,0.439,0.641,0.351
"1183","Kwogin Kerami","NGA",598,"Forest Reserve","polygon","Not Reported",36539,0.168,0.238,0.139
"1184","Kwoiba","NGA",294,"Forest Reserve","polygon","Not Reported",36222,0.403,0.751,0.206
"1185","Kwongoma","NGA",610,"Forest Reserve","polygon","Not Reported",36555,0.373,0.58,0.181
"1186","Kyabobo","GHA",246,"National Park","polygon","Not Reported",68788,0.337,0.542,0.24
"1187","Kyarana","NGA",468,"Forest Reserve","polygon","Not Reported",36402,0.222,0.294,0.165
"1188","L'Alibori Superieur","BEN",14,"Classified Forest","polygon","Not Reported",6953,0.268,0.426,0.131
"1189","L'Amana","GIN",73,"Classified Forest","polygon","Not Reported",29445,0.384,0.622,0.213
"1190","La Lama-Sud","BEN",5,"Classified Forest","polygon","Not Reported",33005,0.458,0.575,0.333
"1191","La Lama Nord","BEN",1,"Classified Forest","polygon","Not Reported",5158,0.449,0.567,0.33
"1192","La Mare aux hippopotames","BFA",54,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",67823,0.366,0.66,0.187
"1193","La Mare d'Oursi","BFA",53,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",67822,0.464,0.68,0.264
"1194","La mare de Dan Doutchi","NER",9,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",902738,0.527,0.732,0.349
"1195","La mare de Lassouri","NER",10,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",902739,0.393,0.597,0.257
"1196","La mare de Tabalak","NER",11,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",902740,0.469,0.666,0.335
"1197","La Sota","BEN",12,"Classified Forest","polygon","Not Reported",6951,0.343,0.584,0.165
"1198","Laba","BFA",30,"Classified Forest","polygon","Not Reported",28553,0.375,0.658,0.168
"1199","Labar","NGA",614,"Forest Reserve","polygon","Not Reported",36559,0.205,0.315,0.143
"1200","Laboni","GHA",242,"Forest Reserve","polygon","Not Reported",303959,0.382,0.65,0.228
"1201","Lac Fitri","TCD",9,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",30017,0.461,0.734,0.32
"1202","Lafia Gongola State","NGA",747,"Forest Reserve","polygon","Not Reported",36695,0.31,0.559,0.161
"1203","Lafia Plateau State","NGA",790,"Forest Reserve","polygon","Not Reported",36740,0.362,0.607,0.241
"1204","Lafiagi Oro","NGA",958,"Forest Reserve","polygon","Not Reported",300793,0.35,0.524,0.216
"1205","Lafiagi","NGA",826,"Forest Reserve","polygon","Not Reported",36776,0.31,0.567,0.199
"1206","Lagoa de Cufada","GNB",5,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",29806,NA,NA,NA
"1207","Lagoas de Cufada","GNB",8,"Natural Park","polygon","Not Reported",33048,0.349,0.583,0.244
"1208","Laigbede","NGA",841,"Forest Reserve","polygon","Not Reported",36792,0.316,0.495,0.215
"1209","Lainde","NGA",753,"Forest Reserve","polygon","Not Reported",36701,0.213,0.351,0.135
"1210","Laine","GIN",96,"Classified Forest","polygon","Not Reported",29488,0.472,0.587,0.339
"1211","Laka","CIV",131,"Classified Forest","polygon","Not Reported",29556,0.452,0.678,0.319
"1212","Lake Alo","NGA",511,"Forest Reserve","polygon","Not Reported",36450,0.408,0.68,0.186
"1213","Lake Chad Wetlands in Nigeria","NGA",1,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",903113,0.429,0.714,0.252
"1214","Lake Piso","LBR",4,"National Park","polygon","Not Reported",555542457,0.4,0.516,0.265
"1215","Lakes of Ounianga","TCD",11,"World Heritage Site","polygon","Not Applicable",555547987,0.319,0.446,0.203
"1216","Lalay","SLE",3,"Forest Reserve","polygon","Not Reported",29986,NA,NA,NA
"1217","Lambo","GHA",222,"Forest Reserve","polygon","Not Reported",26564,0.36,0.588,0.233
"1218","Lame-Burra","NGA",227,"Game Reserve","polygon","IV",7860,0.246,0.302,0.149
"1219","Lame","NGA",572,"Forest Reserve","polygon","Not Reported",36512,0.269,0.325,0.16
"1220","Lamto","CIV",240,"National Reserve","polygon","Ia",555547526,0.507,0.715,0.375
"1221","Lamurde","NGA",748,"Forest Reserve","polygon","Not Reported",36696,0.357,0.622,0.173
"1222","Langai","NGA",735,"Forest Reserve","polygon","Not Reported",36683,0.3,0.357,0.156
"1223","Langue de Barbarie","SEN",5,"National Park","polygon","II",869,0.434,0.564,0.327
"1224","Lanlate","NGA",854,"Forest Reserve","polygon","Not Reported",36806,0.417,0.6,0.299
"1225","Lantang","NGA",739,"Forest Reserve","polygon","Not Reported",36687,0.393,0.567,0.182
"1226","Lapale","CIV",157,"Classified Forest","polygon","Not Reported",300753,0.3,0.484,0.181
"1227","Lefarani","GIN",18,"Classified Forest","polygon","Not Reported",29357,0.368,0.595,0.195
"1228","Lekki","NGA",20,"Strict Nature Reserve","polygon","Ia",26627,NA,NA,NA
"1229","Lema","NGA",238,"Forest Reserve","polygon","Not Reported",36165,0.437,0.677,0.262
"1230","Lembi","NGA",541,"Forest Reserve","polygon","Not Reported",36480,0.251,0.429,0.13
"1231","Lemsikari","NGA",523,"Forest Reserve","polygon","Not Reported",36462,0.269,0.437,0.155
"1232","Leraba","CIV",135,"Classified Forest","polygon","Not Reported",29586,0.329,0.607,0.213
"1233","Libere","NGA",608,"Forest Reserve","polygon","Not Reported",36552,0.21,0.31,0.141
"1234","Liji Hills","NGA",551,"Forest Reserve","polygon","Not Reported",36490,0.281,0.408,0.142
"1235","Lili","TGO",13,"Forest Reserve","polygon","Not Reported",37155,0.432,0.583,0.313
"1236","Limanti","NGA",508,"Forest Reserve","polygon","Not Reported",36447,0.404,0.687,0.199
"1237","Limoro","NGA",600,"Forest Reserve","polygon","Not Reported",36541,0.294,0.341,0.151
"1238","Linde Sud","SEN",34,"Not Reported","polygon","Not Reported",352624,0.575,0.76,0.309
"1239","Little Osse","NGA",40,"Forest Reserve","polygon","Not Reported",36835,0.353,0.495,0.261
"1240","Lizai","NGA",472,"Forest Reserve","polygon","Not Reported",36407,0.295,0.423,0.201
"1241","Loffa","GIN",84,"Classified Forest","polygon","Not Reported",29461,0.466,0.592,0.348
"1242","Log-boyo","CIV",188,"Classified Forest","polygon","Not Reported",300800,0.393,0.664,0.28
"1243","Logoniegue","BFA",41,"Classified Forest","polygon","Not Reported",28564,0.342,0.585,0.181
"1244","Logozohe","BEN",21,"Classified Forest","polygon","Not Reported",33007,0.396,0.607,0.256
"1245","Lokwoja","NGA",525,"Forest Reserve","polygon","Not Reported",36464,0.35,0.638,0.17
"1246","Loma Mountains","SLE",32,"National Park","polygon","Not Reported",29968,0.362,0.487,0.278
"1247","Loma Mountains","SLE",35,"No or Non - Hunting Forest Reserve","polygon","II",8517,0.363,0.488,0.278
"1248","Lopboho","CIV",161,"Classified Forest","polygon","Not Reported",300759,0.33,0.555,0.201
"1249","Lougbo","CIV",152,"Classified Forest","polygon","Not Reported",300743,0.329,0.607,0.213
"1250","Lougguere Todji","SEN",23,"Not Reported","polygon","Not Reported",352613,0.579,0.765,0.325
"1251","Lower Enyong","NGA",182,"Forest Reserve","polygon","Not Reported",37018,0.459,0.545,0.376
"1252","Lower Imo River","NGA",192,"Forest Reserve","polygon","Not Reported",37028,NA,NA,NA
"1253","Lower Kaduna-Middle Niger Floodplain","NGA",6,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",903108,0.322,0.598,0.234
"1254","Lower Orashi River","NGA",195,"Forest Reserve","polygon","Not Reported",37031,NA,NA,NA
"1255","Mabi-Yaya","CIV",10,"Classified Forest","polygon","Not Reported",29506,0.436,0.589,0.336
"1256","Mada River North","NGA",708,"Forest Reserve","polygon","Not Reported",36656,0.277,0.485,0.202
"1257","Mada River South","NGA",707,"Forest Reserve","polygon","Not Reported",36655,0.277,0.485,0.202
"1258","Madagine","NGA",295,"Forest Reserve","polygon","Not Reported",36223,0.404,0.687,0.199
"1259","Madalla","NGA",688,"Forest Reserve","polygon","Not Reported",36636,0.358,0.598,0.218
"1260","Madara","NGA",473,"Forest Reserve","polygon","Not Reported",36408,0.295,0.423,0.201
"1261","Madatai","NGA",264,"Forest Reserve","polygon","Not Reported",36191,0.313,0.487,0.239
"1262","Madjoari","BFA",73,"Faunal Reserve","polygon","IV",9265,0.35,0.605,0.157
"1263","Mafa","CIV",211,"Classified Forest","polygon","Not Reported",29552,0.354,0.534,0.267
"1264","Mafa","NGA",518,"Forest Reserve","polygon","Not Reported",36457,0.404,0.687,0.199
"1265","Mafuta","NGA",326,"Forest Reserve","polygon","Not Reported",36254,0.319,0.478,0.224
"1266","Maharai","NGA",728,"Forest Reserve","polygon","Not Reported",36676,0.346,0.576,0.205
"1267","Mai-Ido","NGA",607,"Forest Reserve","polygon","Not Reported",36551,0.257,0.456,0.207
"1268","Mai Hula","NGA",769,"Forest Reserve","polygon","Not Reported",36719,0.275,0.423,0.182
"1269","Mai Samari","NGA",77,"Forest Reserve","polygon","Not Reported",36903,0.298,0.355,0.184
"1270","Maifari","NGA",332,"Forest Reserve","polygon","Not Reported",36260,0.322,0.53,0.21
